County, State, FIPS Code, Total Pop, Median Income ($), No. of Housing Units, Median Home Value ($), No. of Owner Occupied Housing Units, No. of Owner Occ. Housing Units with Debt, No. of Owner Occ. Housing Units without Debt
Schuyler County, New York, 36097, 18410, 47680, 9513, 108500, 5933, 3042, 2891
Seneca County, New York, 36099, 35144, 49292, 16161, 97000, 9806, 5661, 4145
Steuben County, New York, 36101, 98665, 47280, 48849, 91000, 28756, 14761, 13995
Suffolk County, New York, 36103, 1501373, 88663, 570194, 375100, 392390, 273748, 118642
Sullivan County, New York, 36105, 76330, 50710, 49548, 165900, 18611, 10071, 8540
Tioga County, New York, 36107, 50199, 57514, 22183, 112600, 15585, 8746, 6839
Tompkins County, New York, 36109, 103855, 52624, 41983, 176500, 21356, 12905, 8451
Ulster County, New York, 36111, 181300, 58918, 83733, 222800, 47908, 28892, 19016
Warren County, New York, 36113, 65180, 56798, 38928, 189700, 18890, 11092, 7798
Washington County, New York, 36115, 62700, 51143, 28994, 142700, 17531, 10430, 7101
Wayne County, New York, 36117, 92416, 50798, 41386, 112900, 28288, 17462, 10826
Westchester County, New York, 36119, 967315, 83958, 370032, 506900, 210195, 139945, 70250
Wyoming County, New York, 36121, 41446, 52564, 18037, 102000, 11865, 7056, 4809
Yates County, New York, 36123, 25187, 49510, 13693, 124200, 7454, 4057, 3397
Alamance County, North Carolina, 37001, 155258, 41814, 67804, 138100, 40273, 24882, 15391
Alexander County, North Carolina, 37003, 37158, 39365, 16177, 124600, 10257, 5493, 4764
Alleghany County, North Carolina, 37005, 10911, 36968, 8128, 146600, 3642, 1836, 1806
Anson County, North Carolina, 37007, 26135, 33228, 11528, 76900, 6275, 2816, 3459
Ashe County, North Carolina, 37009, 27114, 36267, 17441, 151500, 8886, 4130, 4756
Avery County, North Carolina, 37011, 17695, 37777, 13988, 137100, 5307, 2357, 2950
Beaufort County, North Carolina, 37013, 47561, 40391, 25217, 115100, 13104, 6650, 6454
Bertie County, North Carolina, 37015, 20518, 30027, 9767, 78400, 5447, 2764, 2683
Bladen County, North Carolina, 37017, 34720, 30096, 17637, 85000, 9690, 4535, 5155
Brunswick County, North Carolina, 37019, 115926, 46859, 80412, 182500, 37423, 22701, 14722
Buncombe County, North Carolina, 37021, 247336, 45167, 115426, 192400, 64626, 38272, 26354
Burke County, North Carolina, 37023, 89548, 39360, 40711, 113100, 24366, 13501, 10865
Cabarrus County, North Carolina, 37025, 188375, 54720, 74504, 167100, 47681, 35572, 12109
Caldwell County, North Carolina, 37027, 81758, 35763, 37633, 108100, 22321, 12604, 9717
Camden County, North Carolina, 37029, 10161, 58780, 4129, 209800, 3197, 2069, 1128
Carteret County, North Carolina, 37031, 68228, 48457, 48694, 196800, 21029, 11862, 9167
Caswell County, North Carolina, 37033, 23174, 37869, 10582, 98400, 6758, 3677, 3081
Catawba County, North Carolina, 37035, 154610, 44376, 67820, 132700, 40729, 25570, 15159
Chatham County, North Carolina, 37037, 67431, 56642, 29632, 223500, 20793, 12014, 8779
Cherokee County, North Carolina, 37039, 27092, 34662, 17667, 142600, 8571, 4118, 4453
Chowan County, North Carolina, 37041, 14656, 38759, 7266, 135900, 3983, 2171, 1812
Clay County, North Carolina, 37043, 10656, 37076, 7195, 147900, 3474, 1877, 1597
Cleveland County, North Carolina, 37045, 97178, 39453, 43291, 104400, 25546, 13916, 11630
Columbus County, North Carolina, 37047, 57230, 34949, 25912, 83900, 15422, 7180, 8242
Craven County, North Carolina, 37049, 104450, 47985, 45745, 154500, 25127, 15882, 9245
Cumberland County, North Carolina, 37051, 324603, 44171, 142119, 129300, 64493, 45119, 19374
Currituck County, North Carolina, 37053, 24492, 60600, 14849, 229900, 7536, 5375, 2161
Dare County, North Carolina, 37055, 34863, 54496, 33863, 283400, 10189, 7069, 3120
Davidson County, North Carolina, 37057, 163867, 43363, 72895, 132200, 46221, 28834, 17387
Davie County, North Carolina, 37059, 41447, 51527, 18205, 169300, 12546, 7607, 4939
Duplin County, North Carolina, 37061, 59453, 35035, 25584, 87900, 14911, 7441, 7470
Durham County, North Carolina, 37063, 288817, 52503, 125685, 183800, 62241, 47401, 14840
Edgecombe County, North Carolina, 37065, 55280, 32659, 24707, 82200, 12586, 7094, 5492
Forsyth County, North Carolina, 37067, 361684, 45471, 159748, 151100, 88917, 61780, 27137
Franklin County, North Carolina, 37069, 62296, 42685, 26788, 129500, 17523, 10915, 6608
Gaston County, North Carolina, 37071, 209807, 42429, 89702, 125100, 52638, 33773, 18865
Gates County, North Carolina, 37073, 11724, 49258, 5225, 144300, 3504, 2051, 1453
Graham County, North Carolina, 37075, 8700, 34805, 5930, 120700, 2683, 1089, 1594
Granville County, North Carolina, 37077, 58109, 50225, 23136, 142600, 14666, 10056, 4610
Greene County, North Carolina, 37079, 21328, 35777, 8152, 87700, 5026, 2608, 2418
Guilford County, North Carolina, 37081, 506763, 45651, 222057, 156100, 118976, 85678, 33298
Halifax County, North Carolina, 37083, 53407, 32245, 25719, 86600, 13524, 6903, 6621
Harnett County, North Carolina, 37085, 124320, 46353, 48676, 135400, 28139, 19057, 9082
Haywood County, North Carolina, 37087, 59170, 42257, 35086, 161300, 19030, 10386, 8644
Henderson County, North Carolina, 37089, 109719, 46448, 55199, 182300, 33454, 19464, 13990
Hertford County, North Carolina, 37091, 24368, 33008, 10564, 83000, 5668, 2833, 2835
Hoke County, North Carolina, 37093, 51075, 41542, 19529, 141500, 11234, 8050, 3184
Hyde County, North Carolina, 37095, 5693, 42897, 3406, 90600, 1593, 595, 998
Iredell County, North Carolina, 37097, 165066, 52306, 69904, 166300, 44390, 30875, 13515
Jackson County, North Carolina, 37099, 40812, 38015, 26322, 171900, 10786, 5486, 5300
Johnston County, North Carolina, 37101, 178396, 50512, 69430, 145500, 43871, 31667, 12204
Jones County, North Carolina, 37103, 10166, 34005, 4863, 93900, 2920, 1595, 1325
Lee County, North Carolina, 37105, 59418, 45608, 24208, 136900, 14145, 8670, 5475
Lenoir County, North Carolina, 37107, 58782, 34717, 27285, 92500, 14083, 7642, 6441
Lincoln County, North Carolina, 37109, 79578, 49215, 33864, 153200, 23191, 15509, 7682
McDowell County, North Carolina, 37111, 44961, 35965, 20893, 98400, 12165, 5895, 6270
Macon County, North Carolina, 37113, 33919, 39133, 25303, 165600, 11258, 5683, 5575
Madison County, North Carolina, 37115, 21027, 37904, 10672, 159900, 6198, 2876, 3322
Martin County, North Carolina, 37117, 23729, 35080, 11595, 85500, 6329, 2858, 3471
Mecklenburg County, North Carolina, 37119, 990288, 56854, 412598, 184800, 218311, 173531, 44780
Mitchell County, North Carolina, 37121, 15330, 37391, 8734, 141100, 4862, 2163, 2699
Montgomery County, North Carolina, 37123, 27601, 32500, 15994, 90900, 7443, 3346, 4097
Moore County, North Carolina, 37125, 91743, 50998, 44881, 199100, 27714, 16743, 10971
Nash County, North Carolina, 37127, 94722, 42713, 42387, 118600, 23632, 15292, 8340
New Hanover County, North Carolina, 37129, 213091, 50088, 104141, 214300, 50638, 35767, 14871
Northampton County, North Carolina, 37131, 21011, 30429, 11567, 82500, 5950, 2880, 3070
Onslow County, North Carolina, 37133, 183753, 46335, 74206, 154000, 33428, 23920, 9508
Orange County, North Carolina, 37135, 138644, 59290, 56297, 272600, 31331, 21485, 9846
Pamlico County, North Carolina, 37137, 12982, 43444, 7569, 150800, 3975, 2005, 1970
Pasquotank County, North Carolina, 37139, 40018, 45378, 16865, 158800, 9030, 5893, 3137
Pender County, North Carolina, 37141, 55166, 44828, 27071, 153400, 15490, 9882, 5608
Perquimans County, North Carolina, 37143, 13498, 44329, 7030, 165800, 4278, 2541, 1737
Person County, North Carolina, 37145, 39262, 42105, 18183, 115500, 11038, 6862, 4176
Pitt County, North Carolina, 37147, 173798, 41119, 76269, 135300, 35626, 23570, 12056
Polk County, North Carolina, 37149, 20327, 46528, 11450, 190700, 6512, 3320, 3192
Randolph County, North Carolina, 37151, 142370, 41947, 61221, 120700, 39612, 23791, 15821
Richmond County, North Carolina, 37153, 46046, 32687, 20943, 78600, 11579, 5605, 5974
Robeson County, North Carolina, 37155, 134871, 30608, 52454, 70200, 28886, 12481, 16405
Rockingham County, North Carolina, 37157, 92300, 38126, 43621, 106700, 25841, 15079, 10762
Rowan County, North Carolina, 37159, 138361, 43069, 60167, 128300, 34764, 21641, 13123
Rutherford County, North Carolina, 37161, 66865, 35630, 33860, 106600, 18870, 10069, 8801
Sampson County, North Carolina, 37163, 63873, 35490, 27166, 87600, 16478, 8140, 8338
Scotland County, North Carolina, 37165, 35932, 30958, 15173, 79100, 8196, 4395, 3801
Stanly County, North Carolina, 37167, 60586, 40910, 27216, 128200, 16815, 9953, 6862
Stokes County, North Carolina, 37169, 46661, 40696, 21836, 117400, 14696, 8698, 5998
Surry County, North Carolina, 37171, 73170, 36164, 33565, 115500, 21094, 11186, 9908
Swain County, North Carolina, 37173, 14163, 33931, 8769, 126700, 3888, 1613, 2275
Transylvania County, North Carolina, 37175, 32928, 45114, 19310, 192000, 10476, 5062, 5414
Tyrrell County, North Carolina, 37177, 4152, 32361, 2003, 98800, 1072, 546, 526
Union County, North Carolina, 37179, 213422, 65903, 75313, 197400, 56496, 43586, 12910
Vance County, North Carolina, 37181, 44829, 33316, 19990, 97900, 10411, 5847, 4564
Wake County, North Carolina, 37183, 976019, 67309, 392813, 234000, 234084, 185003, 49081
Warren County, North Carolina, 37185, 20468, 34254, 11750, 96400, 5483, 2870, 2613
Washington County, North Carolina, 37187, 12668, 34538, 6455, 82700, 3581, 1740, 1841
Watauga County, North Carolina, 37189, 52240, 37656, 32737, 231700, 11570, 6740, 4830
Wayne County, North Carolina, 37191, 124355, 40390, 53141, 110400, 28479, 16552, 11927
Wilkes County, North Carolina, 37193, 68946, 33232, 33017, 114800, 20385, 10105, 10280
Wilson County, North Carolina, 37195, 81581, 39847, 35671, 116300, 19213, 11830, 7383
Yadkin County, North Carolina, 37197, 37971, 37796, 17250, 124400, 11688, 6637, 5051
Yancey County, North Carolina, 37199, 17604, 37484, 11058, 140500, 5596, 2507, 3089
Adams County, North Dakota, 38001, 2341, 52118, 1378, 126100, 786, 319, 467
Barnes County, North Dakota, 38003, 11097, 53141, 5723, 97600, 3473, 1503, 1970
Benson County, North Dakota, 38005, 6794, 41296, 2983, 63600, 1463, 402, 1061
Billings County, North Dakota, 38007, 969, 70469, 519, 145300, 301, 107, 194
Bottineau County, North Dakota, 38009, 6634, 56349, 4342, 116800, 2257, 797, 1460
Bowman County, North Dakota, 38011, 3221, 66845, 1718, 135000, 1019, 413, 606
Burke County, North Dakota, 38013, 2208, 60096, 1333, 110100, 659, 168, 491
Burleigh County, North Dakota, 38015, 88223, 65254, 38716, 199200, 25896, 15517, 10379
Cass County, North Dakota, 38017, 162500, 53289, 73190, 172100, 35858, 24917, 10941
Cavalier County, North Dakota, 38019, 3890, 66806, 2324, 86700, 1498, 477, 1021
Dickey County, North Dakota, 38021, 5195, 53750, 2629, 92000, 1533, 594, 939
Divide County, North Dakota, 38023, 2314, 56042, 1488, 100400, 858, 176, 682
Dunn County, North Dakota, 38025, 4195, 69732, 2404, 146400, 1261, 452, 809
Eddy County, North Dakota, 38027, 2370, 48583, 1325, 68500, 785, 314, 471
Emmons County, North Dakota, 38029, 3463, 44051, 2108, 79900, 1289, 349, 940
Foster County, North Dakota, 38031, 3366, 55769, 1804, 96300, 1097, 462, 635
Golden Valley County, North Dakota, 38033, 1822, 40179, 978, 107000, 542, 187, 355
Grand Forks County, North Dakota, 38035, 68979, 48676, 30678, 160600, 14244, 8856, 5388
Grant County, North Dakota, 38037, 2362, 44559, 1716, 75100, 925, 278, 647
Griggs County, North Dakota, 38039, 2329, 48355, 1408, 83600, 765, 220, 545
Hettinger County, North Dakota, 38041, 2621, 52169, 1422, 95700, 906, 259, 647
Kidder County, North Dakota, 38043, 2430, 54559, 1683, 87600, 877, 339, 538
LaMoure County, North Dakota, 38045, 4113, 54821, 2251, 85200, 1444, 458, 986
Logan County, North Dakota, 38047, 1945, 51458, 1153, 71000, 733, 184, 549
McHenry County, North Dakota, 38049, 5817, 57386, 3036, 107700, 2135, 869, 1266
McIntosh County, North Dakota, 38051, 2759, 42277, 1855, 62800, 1059, 311, 748
McKenzie County, North Dakota, 38053, 9615, 72794, 3944, 198400, 1966, 716, 1250
McLean County, North Dakota, 38055, 9451, 55686, 5815, 130500, 3227, 1227, 2000
Mercer County, North Dakota, 38057, 8633, 72704, 4616, 136600, 3049, 1477, 1572
Morton County, North Dakota, 38059, 28985, 62418, 13268, 165500, 9308, 5713, 3595
Mountrail County, North Dakota, 38061, 9253, 68188, 4576, 132300, 2234, 987, 1247
Nelson County, North Dakota, 38063, 3048, 51085, 1931, 73200, 1178, 346, 832
Oliver County, North Dakota, 38065, 1819, 60278, 975, 120300, 642, 258, 384
Pembina County, North Dakota, 38067, 7206, 53504, 3871, 76900, 2567, 1000, 1567
Pierce County, North Dakota, 38069, 4395, 42563, 2282, 97900, 1478, 568, 910
Ramsey County, North Dakota, 38071, 11566, 50841, 5747, 102400, 3179, 1598, 1581
Ransom County, North Dakota, 38073, 5453, 56500, 2670, 103600, 1596, 724, 872
Renville County, North Dakota, 38075, 2562, 65125, 1253, 118000, 796, 368, 428
Richland County, North Dakota, 38077, 16317, 55390, 7619, 102000, 4722, 2478, 2244
Rolette County, North Dakota, 38079, 14498, 33277, 5476, 69000, 3234, 714, 2520
Sargent County, North Dakota, 38081, 3874, 57125, 2041, 77900, 1305, 499, 806
Sheridan County, North Dakota, 38083, 1337, 48102, 843, 69600, 532, 124, 408
Sioux County, North Dakota, 38085, 4380, 38068, 1324, 66200, 453, 123, 330
Slope County, North Dakota, 38087, 673, 55000, 461, 101100, 276, 68, 208
Stark County, North Dakota, 38089, 28628, 72099, 12741, 206200, 7819, 4445, 3374
Steele County, North Dakota, 38091, 1979, 55833, 1248, 74900, 734, 226, 508
Stutsman County, North Dakota, 38093, 21076, 52359, 10030, 111200, 6042, 2994, 3048
Towner County, North Dakota, 38095, 2294, 56625, 1382, 70400, 781, 249, 532
Traill County, North Dakota, 38097, 8077, 54960, 3813, 105600, 2400, 1207, 1193
Walsh County, North Dakota, 38099, 11005, 49411, 5571, 75400, 3663, 1453, 2210
Ward County, North Dakota, 38101, 67736, 61393, 30210, 189500, 16030, 9577, 6453
Wells County, North Dakota, 38103, 4204, 48098, 2508, 73700, 1576, 509, 1067
Williams County, North Dakota, 38105, 29619, 88013, 14683, 201400, 7735, 3949, 3786
Adams County, Ohio, 39001, 28229, 35560, 12848, 87900, 7495, 3986, 3509
Allen County, Ohio, 39003, 105196, 44103, 44859, 105400, 26883, 16227, 10656
Ashland County, Ohio, 39005, 53189, 48003, 22104, 120800, 14680, 9049, 5631
Ashtabula County, Ohio, 39007, 99777, 40544, 45907, 106000, 27701, 16342, 11359
Athens County, Ohio, 39009, 64974, 33872, 26260, 117700, 12662, 6729, 5933
Auglaize County, Ohio, 39011, 45873, 54274, 19641, 133300, 13493, 8147, 5346
Belmont County, Ohio, 39013, 69560, 43833, 32220, 91700, 20719, 10519, 10200
Brown County, Ohio, 39015, 44247, 45568, 19349, 113800, 12614, 7833, 4781
Butler County, Ohio, 39017, 372538, 57540, 149016, 157200, 93510, 66719, 26791
Carroll County, Ohio, 39019, 28361, 47075, 13610, 112200, 8593, 4812, 3781
Champaign County, Ohio, 39021, 39393, 50974, 16714, 123200, 11195, 6984, 4211
Clark County, Ohio, 39023, 136827, 43625, 61241, 103600, 36310, 22221, 14089
Clermont County, Ohio, 39025, 200285, 60805, 81668, 155500, 55099, 38462, 16637
Clinton County, Ohio, 39027, 41892, 46787, 18063, 120000, 10354, 6782, 3572
Columbiana County, Ohio, 39029, 105987, 44497, 46777, 101100, 29930, 16627, 13303
Coshocton County, Ohio, 39031, 36724, 41701, 16408, 96500, 10672, 5878, 4794
Crawford County, Ohio, 39033, 42725, 40795, 20052, 86700, 12208, 6461, 5747
Cuyahoga County, Ohio, 39035, 1263189, 44190, 619303, 121800, 317310, 205776, 111534
Darke County, Ohio, 39037, 52356, 44632, 22723, 109900, 15053, 8465, 6588
Defiance County, Ohio, 39039, 38669, 50663, 16709, 108900, 11451, 7045, 4406
Delaware County, Ohio, 39041, 185433, 91955, 68668, 256800, 53523, 41822, 11701
Erie County, Ohio, 39043, 76141, 48011, 37739, 131400, 21798, 13561, 8237
Fairfield County, Ohio, 39045, 149112, 60567, 59367, 163100, 38803, 27665, 11138
Fayette County, Ohio, 39047, 28769, 40503, 12668, 107400, 6963, 4272, 2691
Franklin County, Ohio, 39049, 1215761, 52341, 536811, 150600, 258868, 194622, 64246
Fulton County, Ohio, 39051, 42485, 55120, 17368, 129500, 12746, 8421, 4325
Gallia County, Ohio, 39053, 30565, 37319, 13820, 94900, 8880, 4018, 4862
Geauga County, Ohio, 39055, 93874, 72430, 36683, 218800, 29605, 20072, 9533
Greene County, Ohio, 39057, 164192, 60113, 68953, 159400, 43163, 29139, 14024
Guernsey County, Ohio, 39059, 39626, 40930, 19091, 95600, 11363, 6287, 5076
Hamilton County, Ohio, 39061, 804194, 49013, 377126, 142000, 193184, 135280, 57904
Hancock County, Ohio, 39063, 75428, 50895, 33270, 127100, 21951, 14238, 7713
Hardin County, Ohio, 39065, 31736, 42703, 13108, 94000, 8185, 4781, 3404
Harrison County, Ohio, 39067, 15633, 43173, 8115, 85400, 4994, 2616, 2378
Henry County, Ohio, 39069, 28015, 53835, 11933, 111000, 8818, 5491, 3327
Highland County, Ohio, 39071, 43170, 39858, 19256, 103500, 11785, 7422, 4363
Hocking County, Ohio, 39073, 28914, 42170, 13351, 110600, 8465, 5058, 3407
Holmes County, Ohio, 39075, 43436, 51996, 13607, 161100, 9661, 5512, 4149
Huron County, Ohio, 39077, 58937, 48745, 25134, 116100, 15929, 10013, 5916
Jackson County, Ohio, 39079, 32854, 39460, 14557, 91200, 8791, 4941, 3850
Jefferson County, Ohio, 39081, 68053, 41942, 32604, 86200, 19796, 9886, 9910
Knox County, Ohio, 39083, 61004, 48533, 25388, 132500, 16124, 10374, 5750
Lake County, Ohio, 39085, 229437, 58029, 101632, 147900, 70102, 46954, 23148
Lawrence County, Ohio, 39087, 61827, 42874, 27418, 98900, 17472, 8896, 8576
Licking County, Ohio, 39089, 168693, 56549, 69779, 152200, 46298, 32516, 13782
Logan County, Ohio, 39091, 45484, 49783, 23163, 119400, 13725, 8405, 5320
Lorain County, Ohio, 39093, 303152, 52457, 128268, 137400, 83591, 55021, 28570
Lucas County, Ohio, 39095, 436261, 41777, 202269, 104200, 108258, 70700, 37558
Madison County, Ohio, 39097, 43456, 57406, 15913, 149200, 10482, 7305, 3177
Mahoning County, Ohio, 39099, 234550, 41375, 111465, 97400, 66710, 38873, 27837
Marion County, Ohio, 39101, 65943, 42966, 27829, 96400, 16618, 9662, 6956
Medina County, Ohio, 39103, 174831, 66952, 70239, 179500, 52373, 37056, 15317
Meigs County, Ohio, 39105, 23473, 37813, 11076, 84900, 7317, 3434, 3883
Mercer County, Ohio, 39107, 40863, 53099, 17645, 130200, 12190, 6746, 5444
Miami County, Ohio, 39109, 103517, 51569, 44266, 136800, 28906, 19579, 9327
Monroe County, Ohio, 39111, 14547, 41528, 7501, 92200, 4687, 1620, 3067
Montgomery County, Ohio, 39113, 533763, 43829, 254415, 109900, 135689, 89319, 46370
Morgan County, Ohio, 39115, 14913, 37067, 7849, 88300, 4715, 2412, 2303
Morrow County, Ohio, 39117, 34996, 51993, 14123, 132800, 10298, 6589, 3709
Muskingum County, Ohio, 39119, 86016, 41130, 37854, 108600, 22899, 13616, 9283
Noble County, Ohio, 39121, 14508, 41708, 6036, 87100, 4074, 1679, 2395
Ottawa County, Ohio, 39123, 41162, 53914, 27967, 138800, 13775, 8251, 5524
Paulding County, Ohio, 39125, 19165, 45550, 8692, 91900, 6010, 3467, 2543
Perry County, Ohio, 39127, 36025, 42017, 15161, 91800, 10093, 6042, 4051
Pickaway County, Ohio, 39129, 56515, 57439, 21182, 147700, 14363, 9757, 4606
Pike County, Ohio, 39131, 28396, 40283, 12530, 95000, 7463, 4099, 3364
Portage County, Ohio, 39133, 161897, 52552, 67897, 150900, 41928, 27522, 14406
Preble County, Ohio, 39135, 41682, 47818, 17851, 112700, 12375, 7816, 4559
Putnam County, Ohio, 39137, 34184, 60524, 13768, 138900, 10766, 6112, 4654
Richland County, Ohio, 39139, 122312, 41877, 54353, 102500, 33004, 19137, 13867
Ross County, Ohio, 39141, 77334, 43345, 31917, 110300, 20275, 12335, 7940
